Provider Org Code,Provider Org Name,Total All,New_RTT_Periods,Completed_RTT_Pathways,Break_Even_Demand_Increase_Pct
L0D9W,NEWMEDICA - GLOUCESTER (BRIGHOUSE COURT),1051,780.0,1150.0,14.743589743589745
L4R3R,NEWMEDICA - HAMPSHIRE,2125,826.0,1188.0,14.382566585956418
L6O7H,SPAMEDICA POOLE,980,808.0,876.0,10.841584158415843
L9D3Z,SPAMEDICA LEICESTER,309,170.0,274.0,16.117647058823533
M0N7E,SPAMEDICA SITTINGBOURNE,184,204.0,336.0,16.470588235294116
M2Y6D,PRACTICE PLUS GROUP HOSPITAL BIRMINGHAM,1761,1000.0,608.0,6.080000000000001
M3R0W,SPAMEDICA NORWICH,252,208.0,336.0,16.153846153846153
M4C5R,NEWMEDICA - NORTHAMPTON,1223,682.0,1038.0,15.21994134897361
M5E1S,SPAMEDICA EXETER,350,278.0,230.0,8.273381294964029
M7C9Q,SPAMEDICA EPSOM,298,326.0,624.0,19.141104294478527
M9U8M,ENDOCARE DIAGNOSTICS LTD,56,326.0,352.0,10.79754601226994
N6Z0R,NEWMEDICA - LINCOLN,31,16.0,10.0,6.25
N8R1N,NEWMEDICA - BERKSHIRE,1325,622.0,796.0,12.79742765273312
NAM01,PROBUS SURGICAL CENTRE,802,812.0,932.0,11.47783251231527
NCN,DMC HEALTHCARE,2638,5312.0,5942.0,11.185993975903616
NCR,ISIGHT,1285,670.0,788.0,11.761194029850747
NDJ,FIRST COMMUNITY HEALTH AND CARE CIC,960,978.0,912.0,9.325153374233128
NEQ,PHOENIX HEALTH SOLUTIONS LIMITED HQ,569,754.0,770.0,10.212201591511937
NEY,PIONEER HEALTHCARE LIMITED,106,44.0,54.0,12.272727272727273
NFH,SOMERSET SURGICAL SERVICES HQ,1532,684.0,830.0,12.134502923976607
NL3,CARE PLUS GROUP,246,254.0,222.0,8.740157480314961
NL8,LOCALA COMMUNITY PARTNERSHIPS CIC,1431,934.0,244.0,2.612419700214133
NLE01,LANCASTER HOUSE CONSULTING DIAGNOSTICS SURGICAL LTD HQ,1263,470.0,286.0,6.085106382978724
NLX,SIRONA CARE & HEALTH,3861,4704.0,5316.0,11.301020408163266
NN4,TYNESIDE SURGICAL SERVICES LTD,1508,1154.0,1010.0,8.752166377816291
NN5,MANCHESTER SURGICAL SERVICES LTD,417,302.0,246.0,8.145695364238412
