Date,Provider Org Code,Provider Org Name,Total All,New_RTT_Periods,Completed_RTT_Pathways
2026-06-01,Q8X0X,SPAMEDICA ISLE OF WIGHT COMMUNITY DIAGNOSTIC & TREATMENT CENTRE,27,16.0,18.0
2026-06-01,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,166898,83254.0,70982.0
2026-06-01,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,59937,44106.0,36978.0
2026-06-01,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,67378,40416.0,30442.0
2026-06-01,R0F4N,NUFFIELD HEALTH PARKSIDE HOSPITAL,811,584.0,396.0
2026-06-01,R1A,HEREFORDSHIRE AND WORCESTERSHIRE HEALTH AND CARE NHS TRUST,31,34.0,8.0
2026-06-01,R1D,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,8039,4606.0,4192.0
2026-06-01,R1F,ISLE OF WIGHT NHS TRUST,12768,7428.0,7078.0
2026-06-01,R1G7E,SPAMEDICA KENDAL,408,456.0,502.0
2026-06-01,R1H,BARTS HEALTH NHS TRUST,121533,59564.0,49324.0
2026-06-01,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,81282,41294.0,32106.0
2026-06-01,R7W2O,NEWCASTLE NEWMEDICA LTD,869,874.0,894.0
2026-06-01,RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,50868,29232.0,27024.0
2026-06-01,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,31606,18220.0,16476.0
2026-06-01,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,165626,66410.0,59270.0
2026-06-01,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,139530,64170.0,44128.0
2026-06-01,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,8908,5682.0,4644.0
2026-06-01,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,33277,16088.0,13718.0
2026-06-01,RAX,KINGSTON AND RICHMOND NHS FOUNDATION TRUST,40399,21110.0,18188.0
2026-06-01,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,22644,11192.0,8878.0
2026-06-01,RBK,WALSALL HEALTHCARE NHS TRUST,27966,19516.0,16762.0
2026-06-01,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,45369,21970.0,18332.0
2026-06-01,RBN,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,81973,44160.0,38210.0
2026-06-01,RBQ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,5667,3550.0,3586.0
2026-06-01,RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,17095,8852.0,8714.0
2026-06-01,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,28421,20084.0,18116.0
2026-06-01,RBV,THE CHRISTIE NHS FOUNDATION TRUST,3125,3778.0,4196.0
2026-06-01,RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,82592,38420.0,27588.0
2026-06-01,RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,56474,34654.0,24192.0
2026-06-01,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,21377,14816.0,11466.0
2026-06-01,RCF,AIREDALE NHS FOUNDATION TRUST,14155,9060.0,8024.0
2026-06-01,RCU,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,11355,8024.0,7518.0
